                                                                              23 Dec 2020 13:44:59
Approved AGI Educational Alliance Partner
Satellite-Satellite2-To-AreaTarget-United_States_of_America:  Access Summary Report


Satellite2-To-United_States_of_America
--------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     113     7 Jan 2021 08:23:38.043     7 Jan 2021 08:40:59.443          1041.400
                     114     7 Jan 2021 10:00:16.812     7 Jan 2021 10:11:43.010           686.198
                     115     7 Jan 2021 23:09:49.822     7 Jan 2021 23:14:28.304           278.482
                     116     8 Jan 2021 00:40:57.258     8 Jan 2021 00:52:30.463           693.204
                     117     8 Jan 2021 02:14:27.230     8 Jan 2021 02:29:12.914           885.684
                     118     8 Jan 2021 03:47:25.277     8 Jan 2021 04:04:35.248          1029.970
                     119     8 Jan 2021 05:21:50.696     8 Jan 2021 05:39:53.255          1082.560
                     120     8 Jan 2021 06:57:03.036     8 Jan 2021 07:15:29.274          1106.238
                     121     8 Jan 2021 08:32:41.391     8 Jan 2021 08:49:37.476          1016.085
                     122     8 Jan 2021 10:09:34.283     8 Jan 2021 10:20:00.078           625.795
                     123     8 Jan 2021 23:18:12.998     8 Jan 2021 23:23:59.522           346.525
                     124     9 Jan 2021 00:49:33.575     9 Jan 2021 01:01:44.459           730.883
                     125     9 Jan 2021 02:23:01.073     9 Jan 2021 02:38:14.364           913.292
                     126     9 Jan 2021 03:56:14.276     9 Jan 2021 04:13:33.158          1038.881
                     127     9 Jan 2021 05:30:46.153     9 Jan 2021 05:48:55.651          1089.499
                     128     9 Jan 2021 07:06:01.351     9 Jan 2021 07:24:24.867          1103.516
                     129     9 Jan 2021 08:41:46.161     9 Jan 2021 08:58:09.286           983.126
                     130     9 Jan 2021 10:18:58.276     9 Jan 2021 10:25:40.844           402.568
                     131     9 Jan 2021 23:26:45.740     9 Jan 2021 23:33:23.624           397.884
                     132    10 Jan 2021 00:58:13.396    10 Jan 2021 01:10:55.228           761.832
                     133    10 Jan 2021 02:31:39.901    10 Jan 2021 02:47:14.363           934.462
                     134    10 Jan 2021 04:05:00.356    10 Jan 2021 04:22:30.475          1050.119
                     135    10 Jan 2021 05:39:42.445    10 Jan 2021 05:57:57.478          1095.033
                     136    10 Jan 2021 07:15:00.029    10 Jan 2021 07:33:18.750          1098.720
                     137    10 Jan 2021 08:50:52.230    10 Jan 2021 09:06:33.153           940.923
                     138    10 Jan 2021 10:28:35.306    10 Jan 2021 10:32:51.913           256.607
                     139    10 Jan 2021 23:35:24.418    10 Jan 2021 23:42:42.007           437.589
                     140    11 Jan 2021 01:06:55.640    11 Jan 2021 01:20:04.491           788.851
                     141    11 Jan 2021 02:40:09.170    11 Jan 2021 02:56:13.056           963.886
                     142    11 Jan 2021 04:13:48.677    11 Jan 2021 04:31:27.131          1058.454
                     143    11 Jan 2021 05:48:39.450    11 Jan 2021 06:06:58.602          1099.153
                     144    11 Jan 2021 07:23:59.255    11 Jan 2021 07:42:10.686          1091.431
                     145    11 Jan 2021 09:00:00.111    11 Jan 2021 09:14:38.093           877.982
                     146    11 Jan 2021 10:39:17.651    11 Jan 2021 10:40:40.003            82.352
                     147    11 Jan 2021 23:44:07.390    11 Jan 2021 23:51:56.385           468.995
                     148    12 Jan 2021 01:15:41.121    12 Jan 2021 01:29:17.557           816.436
                     149    12 Jan 2021 02:48:44.346    12 Jan 2021 03:05:10.513           986.167
                     150    12 Jan 2021 04:22:38.730    12 Jan 2021 04:40:23.047          1064.317
                     151    12 Jan 2021 05:57:35.684    12 Jan 2021 06:15:58.882          1103.199
                     152    12 Jan 2021 07:32:59.110    12 Jan 2021 07:51:00.380          1081.270
                     153    12 Jan 2021 09:09:08.726    12 Jan 2021 09:22:09.236           780.511
                     154    12 Jan 2021 23:51:56.308    13 Jan 2021 00:01:07.882           551.574
                     155    13 Jan 2021 01:24:29.426    13 Jan 2021 01:38:26.503           837.077
                     156    13 Jan 2021 02:57:24.398    13 Jan 2021 03:14:06.773          1002.375
                     157    13 Jan 2021 04:31:30.264    13 Jan 2021 04:49:18.108          1067.844
                     158    13 Jan 2021 06:06:32.539    13 Jan 2021 06:24:58.552          1106.013
                     159    13 Jan 2021 07:41:59.855    13 Jan 2021 07:59:47.436          1067.581
                     160    13 Jan 2021 09:18:19.832    13 Jan 2021 09:30:47.852           748.020
                     161    13 Jan 2021 22:29:44.546    13 Jan 2021 22:31:29.497           104.951
                     162    14 Jan 2021 00:00:06.159    14 Jan 2021 00:10:27.078           620.918
                     163    14 Jan 2021 01:33:19.054    14 Jan 2021 01:47:32.566           853.512
                     164    14 Jan 2021 03:06:08.028    14 Jan 2021 03:23:01.824          1013.796
                     165    14 Jan 2021 04:40:23.166    14 Jan 2021 04:58:14.064          1070.898
                     166    14 Jan 2021 06:15:30.046    14 Jan 2021 06:33:57.459          1107.413
                     167    14 Jan 2021 07:51:01.588    14 Jan 2021 08:08:31.316          1049.727
                     168    14 Jan 2021 09:27:34.377    14 Jan 2021 09:39:20.528           706.151
                     169    14 Jan 2021 22:37:32.868    14 Jan 2021 22:41:36.833           243.965
                     170    15 Jan 2021 00:08:32.544    15 Jan 2021 00:19:48.335           675.791
                     171    15 Jan 2021 01:42:03.440    15 Jan 2021 01:56:36.426           872.986
                     172    15 Jan 2021 03:14:54.466    15 Jan 2021 03:32:00.436          1025.970
                     173    15 Jan 2021 04:49:17.249    15 Jan 2021 05:07:16.717          1079.468
                     174    15 Jan 2021 06:24:28.149    15 Jan 2021 06:42:55.102          1106.953
                     175    15 Jan 2021 08:00:04.447    15 Jan 2021 08:17:11.218          1026.771
                     176    15 Jan 2021 09:36:51.350    15 Jan 2021 09:47:43.606           652.256
                     177    15 Jan 2021 22:45:50.482    15 Jan 2021 22:51:13.015           322.534
                     178    16 Jan 2021 00:17:07.000    16 Jan 2021 00:29:03.944           716.944
                     179    16 Jan 2021 01:50:35.091    16 Jan 2021 02:05:38.500           903.409
                     180    16 Jan 2021 03:23:43.193    16 Jan 2021 03:40:58.570          1035.376
                     181    16 Jan 2021 04:58:12.349    16 Jan 2021 05:16:19.298          1086.949
                     182    16 Jan 2021 06:33:26.584    16 Jan 2021 06:51:51.305          1104.721
                     183    16 Jan 2021 08:09:08.628    16 Jan 2021 08:25:45.781           997.153
                     184    16 Jan 2021 09:46:12.365    16 Jan 2021 09:55:44.150           571.784
                     185    16 Jan 2021 22:54:20.110    16 Jan 2021 23:00:39.499           379.389
                     186    17 Jan 2021 00:25:45.292    17 Jan 2021 00:38:15.853           750.562
                     187    17 Jan 2021 01:59:12.401    17 Jan 2021 02:14:39.046           926.645
                     188    17 Jan 2021 03:32:30.045    17 Jan 2021 03:49:56.129          1046.084
                     189    17 Jan 2021 05:07:08.332    17 Jan 2021 05:25:21.360          1093.028
                     190    17 Jan 2021 06:42:24.987    17 Jan 2021 07:00:45.887          1100.901
                     191    17 Jan 2021 08:18:14.208    17 Jan 2021 08:34:12.986           958.777
                     192    17 Jan 2021 09:55:42.874    17 Jan 2021 10:00:59.448           316.574
                     193    17 Jan 2021 23:02:56.716    17 Jan 2021 23:09:59.879           423.163
                     194    18 Jan 2021 00:34:26.758    18 Jan 2021 00:47:25.107           778.349
                     195    18 Jan 2021 02:07:45.229    18 Jan 2021 02:23:38.243           953.014
                     196    18 Jan 2021 03:41:17.536    18 Jan 2021 03:58:53.049          1055.513
                     197    18 Jan 2021 05:16:05.066    18 Jan 2021 05:34:22.776          1097.711
                     198    18 Jan 2021 06:51:24.065    18 Jan 2021 07:09:38.617          1094.553
                     199    18 Jan 2021 08:27:21.279    18 Jan 2021 08:42:28.198           906.919
                     200    18 Jan 2021 10:05:41.225    18 Jan 2021 10:08:41.430           180.205
                     201    18 Jan 2021 23:11:38.142    18 Jan 2021 23:19:15.675           457.533
                     202    19 Jan 2021 00:43:10.969    19 Jan 2021 00:56:37.553           806.584
                     203    19 Jan 2021 02:16:17.916    19 Jan 2021 02:32:36.179           978.263
                     204    19 Jan 2021 03:50:06.989    19 Jan 2021 04:07:49.264          1062.275
                     205    19 Jan 2021 05:25:01.634    19 Jan 2021 05:43:23.405          1101.771
                     206    19 Jan 2021 07:00:23.585    19 Jan 2021 07:18:29.233          1085.647
                     207    19 Jan 2021 08:36:29.616    19 Jan 2021 08:49:40.908           791.292
                     208    19 Jan 2021 23:19:52.624    19 Jan 2021 23:28:28.161           515.537
                     209    20 Jan 2021 00:51:58.228    20 Jan 2021 01:05:47.917           829.689
                     210    20 Jan 2021 02:24:56.256    20 Jan 2021 02:41:32.904           996.648
                     211    20 Jan 2021 03:58:57.930    20 Jan 2021 04:16:44.678          1066.748
                     212    20 Jan 2021 05:33:58.216    20 Jan 2021 05:52:23.238          1105.022
                     213    20 Jan 2021 07:09:23.972    20 Jan 2021 07:27:17.380          1073.408
                     214    20 Jan 2021 08:45:39.654    20 Jan 2021 08:58:21.347           761.693
                     215    20 Jan 2021 23:27:47.438    20 Jan 2021 23:37:41.667           594.230
                     216    21 Jan 2021 01:00:48.004    21 Jan 2021 01:14:55.007           847.003
                     217    21 Jan 2021 02:33:38.594    21 Jan 2021 02:50:28.432          1009.837
                     218    21 Jan 2021 04:07:50.322    21 Jan 2021 04:25:39.619          1069.297
                     219    21 Jan 2021 05:42:55.474    21 Jan 2021 06:01:22.551          1107.077
                     220    21 Jan 2021 07:18:25.306    21 Jan 2021 07:36:02.581          1057.275
                     221    21 Jan 2021 08:54:52.703    21 Jan 2021 09:06:56.632           723.929
                     222    21 Jan 2021 22:05:18.958    21 Jan 2021 22:08:41.637           202.679
                     223    21 Jan 2021 23:36:09.013    21 Jan 2021 23:47:05.362           656.349
                     224    22 Jan 2021 01:09:33.900    22 Jan 2021 01:23:59.666           865.766
                     225    22 Jan 2021 02:42:24.010    22 Jan 2021 02:59:25.540          1021.530
                     226    22 Jan 2021 04:16:43.961    22 Jan 2021 04:34:40.111          1076.150
                     227    22 Jan 2021 05:51:53.345    22 Jan 2021 06:10:20.708          1107.363
                     228    22 Jan 2021 07:27:27.703    22 Jan 2021 07:44:44.149          1036.447
                     229    22 Jan 2021 09:04:09.221    22 Jan 2021 09:15:24.157           674.936
                     230    22 Jan 2021 22:13:29.757    22 Jan 2021 22:18:25.065           295.308
                     231    22 Jan 2021 23:44:40.794    22 Jan 2021 23:56:22.864           702.070
                     232    23 Jan 2021 01:18:10.054    23 Jan 2021 01:33:02.406           892.352
                     233    23 Jan 2021 02:51:11.888    23 Jan 2021 03:08:23.886          1031.998
                     234    23 Jan 2021 04:25:38.682    23 Jan 2021 04:43:42.859          1084.177
                     235    23 Jan 2021 06:00:51.791    23 Jan 2021 06:19:17.501          1105.710
                     236    23 Jan 2021 07:36:31.338    23 Jan 2021 07:53:21.045          1009.707
                     237    23 Jan 2021 09:13:27.831    23 Jan 2021 09:23:36.778           608.947
                     238    23 Jan 2021 22:21:55.519    23 Jan 2021 22:27:54.332           358.813
                     239    23 Jan 2021 23:53:17.864    24 Jan 2021 00:05:36.070           738.207
                     240    24 Jan 2021 01:26:45.227    24 Jan 2021 01:42:03.528           918.301
                     241    24 Jan 2021 03:00:00.100    24 Jan 2021 03:17:21.676          1041.576
                     242    24 Jan 2021 04:34:34.329    24 Jan 2021 04:52:45.143          1090.814
                     243    24 Jan 2021 06:09:50.050    24 Jan 2021 06:28:12.742          1102.692
                     244    24 Jan 2021 07:45:36.451    24 Jan 2021 08:01:51.300           974.849
                     245    24 Jan 2021 09:22:53.813    24 Jan 2021 09:28:51.408           357.595
